"#TYPE","Swadesh_number","ENG","FRN","GER","ITN","SPN","DUT","ESP","SWD","LTN"
"pronoun","1","I","je","ich","io","yo","ik","mi","jag","ego"
"pronoun","2","you,thou","tu, vous (formal)","du, Sie (formal)","tu","tú","jij,je","ci","du","tu"
"pronoun","3","he","il","er","lui,egli","él","hij","li","han","-"
"pronoun","4","we","nous","wir","noi","nosotros","wij,we","ni","vi","nos"
"pronoun","5","you","vous","Sie","voi","vosotros","jullie","vi","ni","vos"
"pronoun","6","they","ils,elles","sie","loro,essi","ellos,ellas","zij,ze","ili","de","-"
"part","7","this","ceci","dieses","questo","este","deze,dit","ci tiu","det här","hic,is"
"part","8","that","celà","jenes","quello","ese,aquel","die,dat","tiu","det där","ille"
"part","9","here","ici","hier","qui,qua","aquí,acá","hier","ci tie","här","hic"
"part","10","there","là","dort","là","ahí","daar","tie","där","ibi"
"part","11","who","qui","wer","chi","quien","wie","kiu","vem","quis"
"part","12","what","quoi","was","che","que","wat","kio","vad","quid"
"part","13","where","où","wo","dove","donde","waar","kie","var","ubi"
"part","14","when","quand","wann","quando","cuando","wanneer","kiam","när","quando"
"part","15","how","comment","wie","come","como","hoe","kiel","hur","quam,quomodo"
"conjunction","16","not","ne","nicht","non","no","niet","ne","inte,ej","non"
"part","17","all","tout","alle","tutto","todo","al,alle","ciu","alla","omnis"
"part","18","many","plusieurs","viele","molti","muchos","veel",,"många","multi"
"part","19","some","quelques","einige","alcuni","algunos","enkele,sommige","kelkaj","några,vissa","aliqui,aliquot"
"part","20","few","peu","wenige","pochi","poco","weinig","malmulta","få","pauci"
"part","21","other","autre","andere","altro","otro","ander","alia","annan","alter,alius"
"number","22","one","un","eins","uno","uno","een","unu","ett","unus"
"number","23","two","deux","zwei","due","dos","twee","du","två","duo"
"number","24","three","trois","drei","tre","tres","drie","tri","tre","tres"
"number","25","four","quatre","vier","quattro","cuatro","vier","kvar","fyra","quattuor"
"number","26","five","cinq","fünf","cinque","cinco","vijf","kvin","fem","quinque"
"adjective","27","big","grand","groß","grande","grande","groot","granda","stor","magnus,grandis"
"adjective","28","long","long","lang","lungo","largo","lang","longa","lång","longus"
"adjective","29","wide","large","breit,weit","largo","ancho","breed,wijd","larga","bred,vid","latus"
"adjective","30","thick","épais","dick","spesso","gordo","dik","dika","tjock","creber"
"adjective","31","heavy","lourd","schwer","pesante","pesado","zwaar","peza","tung","gravis"
"adjective","32","small","petit","klein","piccolo","pequeño","klein","malgranda","liten","parvus"
"adjective","33","short","court","kurz","corto","corto","kort","mallonga","kort","brevis"
"adjective","34","narrow","étroit","eng","stretto","estrecho","smal","mallarga","trång","angustus"
"adjective","35","thin","mince","dünn","sottile","delgado,flaco","dun","maldika","tunn","macer"
"noun","36","woman","femme","Frau","donna","mujer","vrouw","virino,ino","kvinna","femina"
"noun","37","man","homme","Mann","uomo","hombre","man","viro,ulo","man","vir"
"noun","38","person","personne","Mensch","persona","persona","persoon","persono","person,människa","homo"
"noun","39","child","enfant","Kind","bambino","niño","kind","infano","barn","puer"
"noun","40","wife","femme,épouse","Frau,Ehefrau","moglie","esposa,mujer","vrouw,echtgenote","edzino","hustru,maka,fru","uxor,mulier"
"noun","41","husband","mari,époux","Mann,Ehemann","marito","esposo,marido","man,echtgenoot","edzo","man,make","maritus"
"noun","42","mother","mère","Mutter","madre","madre","moeder","patrino","mamma,mor","mater"
"noun","43","father","père","Vater","padre","padre","vader","patro","pappa,far","pater"
"noun","44","animal","animal","Tier","animale","animal","dier","animalo,besto","djur","animal"
"noun","45","fish","poisson","Fisch","pesce","pez,pescado","vis","fiso","fisk","piscis"
"noun","46","bird","oiseau","Vogel","uccello","pájaro","vogel","birdo","fågel","avis"
"noun","47","dog","chien","Hund","cane","perro","hond","hundo","hund","canis"
"noun","48","louse","pou","Laus","pidocchio","piojo","luis","pediko","lus","pedis"
"noun","49","snake","serpent","Schlange","serpente","serpiente","slang","serpento","orm","serpens"
"noun","50","worm","ver","Wurm","verme","gusano","worm","vermo","mask","vermis"
"noun","51","tree","arbre","Baum","albero","árbol","boom","arbo","träd","arbor"
"noun","52","forest","forêt","Wald","foresta","bosque","woud","arbaro","skog","silva"
"noun","53","stick","bâton","Stock","bastone","palo","stok","bastono","pinne","fustis"
"noun","54","fruit","fruit","Frucht","frutta","fruta","fruit,vrucht","frukto","frukt","fructus"
"noun","55","seed","graine","Samen","seme","semilla","zaad","semo","frö","semen"
"noun","56","leaf","feuille","Blatt","foglia","hoja","blad","folio","löv,blad","folium"
"noun","57","root","racine","Wurzel","radice","raíz","wortel","radiko","rot","radix"
"noun","58","bark","écorce","Rinde","corteccia","corteza","schors","selo","bark","cortex"
"noun","59","flower","fleur","Blume","fiore","flor","bloem","floro","blomma","flos"
"noun","60","grass","herbe","Gras","erba","hierba","gras","herbo,greso","gräs","herba"
"noun","61","rope","corde","Seil","corda","cuerda","touw,koord","snuro","rep","funis"
"noun","62","skin","peau","Haut","pelle","piel","huid","hauto","hud","cutis"
"noun","63","meat","viande","Fleisch","carne","carne","vlees","viando","kött","caro"
"noun","64","blood","sang","Blut","sangue","sangre","bloed","sango","blod","sanguis"
"noun","65","bone","os","Knochen","osso","hueso","been","osto","ben","os"
"noun","66","fat","graisse","Fett","grasso","gordo","vet","graso","fett","adeps"
"noun","67","egg","œuf","Ei","uovo","huevo","ei","ovo","ägg","ovum"
"noun","68","horn","corne","Horn","corno","cuerno","hoorn","korno","horn","cornu"
"noun","69","tail","queue","Schwanz","coda","cola","staart","vosto","svans","cauda"
"noun","70","feather","plume","Feder","piuma","pluma","veer","plumo","fjäder","penna"
"noun","71","hair","cheveu","Haar","capelli","cabello","haar","haro","hår","capillus,coma,crinis"
"noun","72","head","tête","Kopf,Haupt","testa","cabeza","hoofd,kop","kapo","huvud","caput"
"noun","73","ear","oreille","Ohr","orecchio","oreja","oor","orelo","öra","auris"
"noun","74","eye","œil","Auge","occhio","ojo","oog","okulo","öga","oculus"
"noun","75","nose","nez","Nase","naso","nariz","neus","nazo","näsa","nasus"
"noun","76","mouth","bouche","Mund","bocca","boca","mond","buso","mun","os"
"noun","77","tooth","dent","Zahn","dente","diente","tand","dento","tand","dens"
"noun","78","tongue","langue","Zunge","lingua","lengua","tong","lango","tunga","lingua"
"noun","79","fingernail","ongle","Fingernagel","unghia","uña","vingernagel","ungo","nagel","unguis"
"noun","80","foot","pied","Fuß","piede","pie","voet","piedo","fot","pes"
"noun","81","leg","jambe","Bein","gamba","pierna","been","kruro,gambo","ben","crus"
"noun","82","knee","genou","Knie","ginocchio","rodilla","knie","genuo","knä","genu"
"noun","83","hand","main","Hand","mano","mano","hand","mano","hand","manus"
"noun","84","wing","aile","Flügel","ala","ala","vleugel","flugilo","vinge","ala"
"noun","85","belly","ventre","Bauch","pancia","barriga","buik","ventro","mage","venter"
"noun","86","guts","entrailles","Eingeweide","intestino","tripas","ingewanden","intestoj","inälvor","intestina"
"noun","87","neck","cou","Hals","collo","cuello","nek","nuko","hals,nacke","collum,cervix"
"noun","88","back","dos","Rücken","schiena","espalda","rug","dorso","rygg","tergum"
"noun","89","breast","sein,poitrine","Brust","petto","pecho","borst","brusto,mamo","bröst","pectus,mamma"
"noun","90","heart","cœur","Herz","cuore","corazón","hart","koro","hjärta","cor"
"noun","91","liver","foie","Leber","fegato","hígado","lever","hepato","lever","iecur"
"verb","92","drink","boire","trinken","bere","beber,tomar","drinken","trinki","dricka","bibere"
"verb","93","eat","manger","essen","mangiare","comer","eten","mangi","äta","edere"
"verb","94","bite","mordre","beissen","mordere","morder","bijten","mordi","bita","mordere"
"verb","95","suck","sucer","saugen","succhiare","chupar","zuigen","suci","suga","sugere"
"verb","96","spit","cracher","spucken","sputare","escupir","spuwen","kraci","spotta","sputare"
"verb","97","vomit","vomir","erbrechen","vomitare","vomitar","braken,overgeven","vomi","kräkas,spy","vomere"
"verb","98","blow","souffler","blasen","soffiare","soplar","blazen","blovi","blåsa","flare"
"verb","99","breathe","respirer","atmen","respirare","respirar","ademen","respiri","andas","spirare"
"verb","100","laugh","rire","lachen","ridere","reir","lachen","ridi","skratta","ridere"
"verb","101","see","voir","sehen","vedere","ver","zien","vidi","se","videre"
"verb","102","hear","entendre","hören","udire,sentire","oir","horen","audi","höra","audire"
"verb","103","know","savoir","wissen","sapere","saber","weten","scii","veta","scire"
"verb","104","think","penser","denken","pensare","pensar","denken","pensi","tänka","putare"
"verb","105","smell","sentir","riechen","odorare,annusare","oler","ruiken","flari","lukta","olere"
"verb","106","fear","craindre,avoir peur","fürchten","temere","temer","vrezen","timi","frukta,rädas","timere"
"verb","107","sleep","dormir","schlafen","dormire","dormir","slapen","dormi","sova","dormire"
"verb","108","live","vivre","leben","vivere","vivir","leven","vivi","leva","vivere"
"verb","109","die","mourir","sterben","morire","morir","sterven","morti","dö","mori"
"verb","110","kill","tuer","töten","uccidere","matar","doden","mortigi","döda","necare"
"verb","111","fight","se battre","kämpfen","combattere","pelear","vechten","batali","strida","pugnare"
