"#TYPE","Swadesh_number","ENG","CLN","INR","POR","RUM","Lengadocian Occitan","Gascon Occitan"
"pronoun","1","I","jo","io","eu","eu","ieu","jo"
"pronoun","2","thou","tu","tu","tu,você","tu","tu","tu"
"pronoun","3","he","ell","ille","ele","el,ea","el","eth"
"pronoun","4","we","nosaltres","nos","nós","noi","nosautres","nosauts"
"pronoun","5","you","vosaltres","vos","vós,vocês","voi","vosautres","vosauts"
"pronoun","6","they","ells,elles","illes","eles,elas","ei,ele","eles,elas","eths,eras"
"part","7","this","aquest","iste","este","acesta, m,aceasta,acest, m,această,f","aqueste, a","aqueste, a"
"part","8","that","aquell","ille,aquelle,aquello","aquele","acela, adj,aceea,acel, pron,acea, pron","aquel, a","aqueth, aquera"
"part","9","here","aquí","hic,aqui","aqui","aici,ací","aicí, aquí","ací"
"part","10","there","allà","illac,la","lá,ali","acolo","ailà","aquiu"
"part","11","who","qui","qui","quem","cine","quin, qual","qui"
"part","12","what","què","que","que,o que","ce","qué","qué"
"part","13","where","on","ubi","onde","unde","ont","on"
"part","14","when","quan","quando","quando","când","quand","quan"
"part","15","how","com","como","como","cum","consí","com(a)"
"conjunction","16","not","no","non","não","nu","pas","ne ... pas"
"part","17","all","tot","tote","todo","tot","tot","tot"
"part","18","many","molt","multe","muito","multe,mulţi","fòça","regde"
"part","19","some","algun,una mica","alicun,alcun","algum","nişte","qualque","quauque"
"part","20","few","poc","pauc,poc","pouco","puţin","pauc","pòc"
"part","21","other","altre","altere","outro,outra","alt,altă","autre","aute"
"number","22","one","un","un","um,uma","unu,un,una","un, una","un, ua"
"number","23","two","dos","duo","dois,duas","doi,două","dos, doas","dus, duas"
"number","24","three","tres","tres","três","trei","tres","tres"
"number","25","four","quatre","quatro","quatro","patru","quatre","quate"
"number","26","five","cinc","cinque","cinco","cinci","cinc","cinc"
"adjective","27","big","gran,gros","grande","grande","mare","bèl, a","gran, a"
"adjective","28","long","llarg","longe","longo","lung","long, a","long, a"
"adjective","29","wide","ample","large","largo","larg","larg, a","large, ja"
"adjective","30","thick","gruixut","grosse,spisse","grosso,espesso","gros","espés, sa","espés, sa"
"adjective","31","heavy","pesat","pesante","pesado","greu","pesuc, ga","pesuc, ga"
"adjective","32","small","petit","parve,micre","pequeno","mic","pichòt, a","petit, a"
"adjective","33","short","curt","curte","curto","scurt","cort, a","brac, a"
"adjective","34","narrow","estret","stricte","estreito","strâmt","estrech, a","estret, a"
"adjective","35","thin","prim","tenue,magre","tênue,magro","subţire,slab","fin, a","prim, a"
"noun","36","woman","dona","femina","mulher","femeie,muiere","femna","hemna"
"noun","37","man","home","homine","homem","om,bărbat","òme","òme"
"noun","38","person","persona","persona","pessoa","persoană","persona","persona"
"noun","39","child","nen","infante","criança,filho","copil","enfant","mainatge"
"noun","40","wife","muller","sponsa,sposa,uxor,marita","esposa,mulher","soţie,nevastă","esposa, molher","esposa, molher"
"noun","41","husband","marit","sponso,sposo,marito","esposo,marido","soţ,bărbat","espós, marit","espós, marit"
"noun","42","mother","mare","matre","mãe","mamă","maire","mair"
"noun","43","father","pare","patre","pai","tată","paire","pair"
"noun","44","animal","animal","animal","animal","animal","animal","animau"
"noun","45","fish","peix","pisce","peixe","peşte","peis","peish"
"noun","46","bird","ocell","ave","ave,pássaro","pasăre","aucèl","ausèth"
"noun","47","dog","gos","can","cão,cachorro","câine","gos, can, chin","can"
"noun","48","louse","poll","pediculo","piolho","păduche","pesolh","pedolh"
"noun","49","snake","serp","serpente","cobra,serpente","şarpe","sèrp","sèrp"
"noun","50","worm","cuc","verme","verme","vierme","vèrm","vèrmi"
"noun","51","tree","arbre","arbore","árvore","arbore,pom","aubre","arbe"
"noun","52","forest","bosc","foreste","floresta","pădure","bòsc","bòsc"
"noun","53","stick","bastó","baston","bastão,vara","băţ,baston","baston","barròt"
"noun","54","fruit","fruit,fruita","fructo","fruta,fruto","fruct","fruch","frut"
"noun","55","seed","llavor","semine","semente","sămânţă","semen, grana","semi, grana"
"noun","56","leaf","fulla","folio","folha","frunză","fuèlha","huelha"
"noun","57","root","arrel","radice","raiz","rădăcină","rasiga","arraditz"
"noun","58","bark","escorça","cortice","casca","scoarţă","escòça","arrusca"
"noun","59","flower","flor","flor","flor","floare","flor","hlor"
"noun","60","grass","herba","herba","grama,erva","iarbă","èrba","èrba"
"noun","61","rope","corda","corda","corda","sfoară,frânghie,coardă","còrda","còrda"
"noun","62","skin","pell","pelle,cute","pele,cútis","piele","pèl","pèth"
"noun","63","meat","carn","carne","carne","carne","carn","carn"
"noun","64","blood","sang","sanguine","sangue","sânge","sang","sang"
"noun","65","bone","os","osso","osso","os","òs","òs"
"noun","66","fat","gras","grassia","gordura","grăsime","grais","grèsh"
"noun","67","egg","ou","ovo","ovo","ou","uòu","ueu"
"noun","68","horn","banya","corno","chifre,corno","corn","bana","còrna"
"noun","69","tail","cua","cauda","cauda,rabo","coadă","coá","coda"
"noun","70","feather","ploma","pluma,penna","pena,pluma","pană,fulg","pluma","pluma"
