"#TYPE","Swadesh_number","ENG","SXN","ICE"
"pronoun","1","I","ik","ég"
"pronoun","2","thou","du","þú"
"pronoun","3","he","he","hann"
"pronoun","4","we","wi","við"
"pronoun","5","you","ji","þið"
"pronoun","6","they","se","þeir"
"part","7","this","düsse,dütt","þessi"
"part","8","that","de,dat","hinn"
"part","9","here","hier","hér"
"part","10","there","dor","þar"
"part","11","who","wokeen,keen","hver"
"part","12","what","wat","hvað"
"part","13","where","woneem,neem","hvar"
"part","14","when","woneer","hvenær"
"part","15","how","wo,woans","hvað"
"conjunction","16","not","nich","ekki"
"part","17","all","all,allens","allt"
"part","18","many","veel","margir"
"part","19","some","'n beten,'n poor","nokkuð"
"part","20","few","wenig","lítið"
"part","21","other","anner","annar"
"number","22","one","een","einn"
"number","23","two","twee","tveir"
"number","24","three","dree","þrír"
"number","25","four","veer","fjórir"
"number","26","five","fief","fimm"
"adjective","27","big","groot","stór"
"adjective","28","long","lang","langur"
"adjective","29","wide","breet","breiður"
"adjective","30","thick","dick","þykkur"
"adjective","31","heavy","swoor","þungur"
"adjective","32","small","lütt","lítill"
"adjective","33","short","kort","stuttur"
"adjective","34","narrow","small","krappur"
"adjective","35","thin","dünn","þunnur"
"noun","36","woman","Fru","kona"
"noun","37","man","Mann","karlmaður"
"noun","38","man","Minsch","maður"
"noun","39","child","Kind","barn"
"noun","40","wife","Fru","eiginkona"
"noun","41","husband","Mann","eiginmaður"
"noun","42","mother","Mudder","móðir"
"noun","43","father","Vadder","faðir"
"noun","44","animal","Tier","dýr"
"noun","45","fish","Fisch","fiskur"
"noun","46","bird","Vagel","fugl"
"noun","47","dog","Hund","hundur"
"noun","48","louse","Luus","lús"
"noun","49","snake","Slang","slanga,snákur"
"noun","50","worm","Worm","maðkur"
"noun","51","tree","Boom","tré"
"noun","52","forest","Woold","skógur"
"noun","53","stick","Stock","stafur"
"noun","54","fruit","Frucht","ávöxtur"
"noun","55","seed","Samen","fræ"
"noun","56","leaf","Blatt","blað"
"noun","57","root","Wöddel","rót"
"noun","58","bark","Bork","börkur"
"noun","59","flower","Bloom","blóm"
"noun","60","grass","Gras","gras"
"noun","61","rope","Tau","reipi"
"noun","62","skin","Huut","hörund"
"noun","63","meat","Fleesch","kjöt"
"noun","64","blood","Bloot","blóð"
"noun","65","bone","Knaken","bein"
"noun","66","fat","Fett","spik"
"noun","67","egg","Ei","egg"
"noun","68","horn","Hoorn","horn"
"noun","69","tail","Steert","hali"
"noun","70","feather","Fedder","fjöður"
"noun","71","hair","Hoor","hár"
"noun","72","head","Kopp","höfuð"
"noun","73","ear","Ohr","eyra"
"noun","74","eye","Oog","auga"
"noun","75","nose","Nees","nef"
"noun","76","mouth","Mund","munnur"
"noun","77","tooth","Tehn","tönn"
"noun","78","tongue","Tung","tunga"
"noun","79","fingernail","Nagel","nögl"
"noun","80","foot","Foot","fótur"
"noun","81","leg","Been","leggur"
"noun","82","knee","Knee","kné"
"noun","83","hand","Hand","hönd"
"noun","84","wing","Flünk","vængur"
"noun","85","belly","Buuk","búkur"
"noun","86","guts","Gedääm","kjarkur"
"noun","87","neck","Hals","háls"
"noun","88","back","Rügg","hryggur"
"noun","89","breast","Böß","brjóst"
"noun","90","heart","Hart","hjarta"
"noun","91","liver","Lebber","lifur"
"verb","92","drink","drinken","drekka"
"verb","93","eat","eten","borða"
"verb","94","bite","bieten","bita"
"verb","95","suck","sugen","sjúga"
"verb","96","spit","speen","skyrpa"
"verb","97","vomit","sich übägeem","spýja"
"verb","98","blow","puusten","blása"
"verb","99","breathe","puusten,Luft halen","anda"
"verb","100","laugh","lachen","hlæja"
