"#TYPE","Swadesh_number","ENG","POR","GLN","AXX","CLN","SPN","LTN"
"pronoun","1","I","eu","eu","yo","jo","yo","ego"
"pronoun","2","you,thou","tu","ti","yo","tu","tú","tu"
"pronoun","3","he","ele","el","él","ell","él",
"pronoun","4","we","nós","nós","nusatros","nosaltres","nosotros","nos"
"pronoun","5","you","vós","vós","busatros","vosaltres","vosotros","vos"
"pronoun","6","they","eles","eles","ellos","ells,elles","ellos",
"part","7","this","este","este","iste","aquest","este","hic,is"
"part","8","that","esse,aquele","ese","ixe","aquel","aquel","ille"
"part","9","here","aqui","aquí",,"aquí,acá","aquí","hic"
"part","10","there","ali","alí",,"allà","ahí","ibi"
"part","11","who","quem","quén","quí","qui","quien","quis"
"part","12","what","quê","qué","qué","què","que","quid"
"part","13","where","onde","ónde",,"on","donde","ubi"
"part","14","when","quando","cándo",,"quan","cuando","quando"
"part","15","how","como","cómo",,"com","como","quam,quomodo"
"conjunction","16","not","não","non","no","no","no","non"
"part","17","all","todo","todo","tot","tot","todo","omnis"
"part","18","many","muito","moitos","muitos","molt","muchos","multi"
"part","19","some","algum","algún",,"algun","algunos","aliqui,aliquot"
"part","20","few","pouco","pouco",,"poc","poco","pauci"
"part","21","other","outro","outro",,"altre","otro","alter,alius"
"number","22","one","um","un","uno","un","uno","unus"
"number","23","two","dois","dous","dos","dos","dos","duo"
"number","24","three","três","tres","tres","tres","tres","tres"
"number","25","four","quatro","catro",,"quatre","cuatro","quattuor"
"number","26","five","cinco","cinco",,"cinc","cinco","quinque"
"adjective","27","big","grande","grande","gran","gran,gros","grande","magnus,grandis"
"adjective","28","long","longo","longo","largo","llarg","largo","longus"
"adjective","29","wide","largo","groso",,"ample","ancho","latus"
"adjective","30","thick","grosso,espesso","pesado",,"gruixut","grueso","creber"
"adjective","31","heavy","pesado","pesado",,"pesat","pesado","gravis"
"adjective","32","small","pequeno","pequeno","chiquet","petit","pequeño","parvus"
"adjective","33","short","curto","curto",,"curt","corto","brevis"
"adjective","34","narrow","estreito","estreito",,"estret","estrecho","angustus"
"adjective","35","thin","fino,magro,ténue","fino",,"prim","delgado,flaco","macer"
"noun","36","woman","mulher","mulher","muller","dona","mujer","femina"
"noun","37","man","homem","home","ombre","home","hombre","vir"
"noun","38","person","pessoa","persoa","persona","persona","persona","persona"
"noun","39","child","criança","criança",,"nen","niño","puer"
"noun","40","wife","esposa,mulher","esposa,mulher",,"muller","esposa,mujer","uxor,mulier"
"noun","41","husband","esposo,marido","esposo,marido",,"marit","esposo,marido","maritus"
"noun","42","mother","mãe","mãe",,"mare","madre","mater"
"noun","43","father","pai","pai",,"pare","padre","pater"
"noun","44","animal","animal","animal",,"animal","animal","animal"
"noun","45","fish","peixe","peixe","pex","peix","pez,pescado","piscis"
"noun","46","bird","ave,pássaro","ave,pássaro","paxaro","ocell","pájaro","avis"
"noun","47","dog","cão,cachorro","cam","can,cocho","gos","perro","canis"
"noun","48","louse","piolho","piolho","pegollo","poll","piojo",
"noun","49","snake","serpente,cobra","serpente,serpente,serpe",,"serp","serpiente","serpens"
"noun","50","worm","verme,minhoca","verme,minhoca",,"cuc","gusano","vermis"
"noun","51","tree","árvore","árvore","árbol","arbre","árbol","arbor"
"noun","52","forest","floresta,bosque","floresta,bosque",,"bosc","bosque","silva"
"noun","53","stick","bastão,vara","bastom,vara",,"bastó","palo","fustis"
"noun","54","fruit","fruto,fruta","fruto,fruta",,"fruti, fruita (pl)","fruta","fructus"
"noun","55","seed","semente","semente","simién","llavor","semilla","semen"
"noun","56","leaf","folha","folha","fuella","fulla","hoja","folium"
"noun","57","root","raiz","radiz","raíz","arrel","raíz","radix"
"noun","58","bark","ladrar,latir",,"crosta","bordar,lladrar","corteza","cortex"
"noun","59","flower","flor",,,"flor","flor","flos"
"noun","60","grass","erva,relva,grama",,,"herba","hierba","herba"
"noun","61","rope","corda",,,"corda","cuerda","funis"
"noun","62","skin","pele,cútis","pel","pelello","pell","piel","cutis"
"noun","63","meat","carne","carne","carne","carn","carne","caro"
"noun","64","blood","sangue","sangue","sangre","sang","sangre","sanguis"
"noun","65","bone","osso","óso","güeso","os","hueso","os"
"noun","66","fat","gordura","graxa","grasa","gras","gordo",
"noun","67","egg","ovo","ovo","güego","ou","huevo","ovum"
"noun","68","horn","corno,chifre","corno","cuerno","banya","cuerno","cornu"
"noun","69","tail","cauda,rabo","rabo","coda","cua","cola","cauda"
"noun","70","feather","pena,pluma","pluma","pluma","ploma","pluma","penna"
"noun","71","hair","pelo,cabelo","pelo","pelo","pèl,cabell","cabello","capillus,coma,crinis"
"noun","72","head","cabeça","cabeza","cabeza,tozuelo","cap","cabeza","caput"
"noun","73","ear","orelha,ouvido","orelha","orella","orella","oreja","auris"
"noun","74","eye","olho","olho","güello","ull","ojo","oculus"
"noun","75","nose","nariz","nariz","nariz,naso","nas","nariz","nasus"
"noun","76","mouth","boca","boca","boca","boca","boca","os"
"noun","77","tooth","dente","dente","dien","dent","diente","dens"
"noun","78","tongue","língua","lingua","fizón,cizón","llengua","lengua","lingua"
"noun","79","fingernail","unha",,"zarpa","ungla","uña","unguis"
"noun","80","foot","pé","pé","piet","peu","pie","pes"
"noun","81","leg","perna",,,"cama","pierna","crus"
"noun","82","knee","joelho","xeonlho","chinollo","genoll","rodilla","genu"
"noun","83","hand","mão","man","man","ma","mano","manus"
"noun","84","wing","asa",,,"ala","ala","ala"
"noun","85","belly","barriga,ventre","bandulho","bientre","panxa","barriga","venter"
"noun","86","guts","tripas,entranhas",,,"budells","tripas",
"noun","87","neck","pescoço","pescozo","cuello","coll","cuello","collum,cervix"
"noun","88","back","costas,dorso",,,"esquena","espalda","tergum"
"noun","89","breast","peito,seio","peito","peito","pit","pecho","pectus,mamma"
"noun","90","heart","coração","corazón","corazón","cor","corazón","cor"
"noun","91","liver","fígado","fígado","figado","fetge","hígado","iecur"
"verb","92","drink","beure","beber","beber","beber","beber","bibere"
"verb","93","eat","comer","comer","minchar","menjar","comer","edere"
"verb","94","bite","morder","trabar","mosaquiar","mossegar","morder","mordere"
"verb","95","suck","sugar,chupar",,,"xuclar,llepar","chupar","sugere"
"verb","96","spit","cuspir",,,"escopir","escupir","sputare"
"verb","97","vomit","vomitar",,,"vomitar","vomitar","vomere"
"verb","98","blow","soprar",,,"bufar","soplar",
"verb","99","breathe","respirar",,,"respirar","respirar","spirare"
"verb","100","laugh","rir",,,"riure","reir","ridere"
"verb","101","see","ver","ver","beyer","veure","ver","videre"
"verb","102","hear","ouvir","oír",,"escoltar","oir","audire"
"verb","103","know","saber,conhecer","saber","saber","saber,conèxer","saber","scire"
"verb","104","think","pensar",,,"pensar","pensar","putare"
"verb","105","smell","cheirar",,,"olorar,fer olor,ensumar","oler","olere"
"verb","106","fear","temer,ter medo",,,"témer","temer","timere"
"verb","107","sleep","dormir","durmir","dormir","dormir","dormir","dormire"
"verb","108","live","viver","vivir",,,"vivir","vivere"
"verb","109","die","morrer","morrer","morrir","morir","morir","mori"
"verb","110","kill","matar","matar","matar","matar","matar","necare"
"verb","111","fight","lutar",,,"lluitar","pelear","pugnare"
"verb","112","hunt","caçar",,,"caçar","cazar","venari"
"verb","113","hit","bater,acertar,atingir",,,"colpejar,picar","golpear","pulsare"
"verb","114","cut","cortar,talhar",,,"tallar","cortar","secare"
"verb","115","split","partir,dividir,fender",,,"partir,dividir","partir","scindere,partiri"
"verb","116","stab","apunhalhar,esfaquear",,,"apunyalar","apuñalar",
"verb","117","scratch","arranhar,raspar",,,"gratar,rascar,esgarbatar","arañar,rascar",
"verb","118","dig","cavar,escavar",,,"cavar,excavar","cavar","fodere"
"verb","119","swim","nadar",,"nadar","nedar","nadar","natare"
"verb","120","fly","voar","voar","bolar","volar","volar","volare"
"verb","121","walk","andar,caminhar,passear",,"caminar","caminar","caminar","gradi"
"verb","122","come","vir",,"benir","venir","venir","venire"
"verb","123","lie","estar deitado,jazer",,"chitar","jeure","echarse","iacere"
"verb","124","sit","sentar,estar sentado",,"posar","seure","sentarse","sedere"
"verb","125","stand","estar de pé",,"plantar,estar de piet","estar dret","estar de pie","stare"
"verb","126","turn","virar,girar",,,"girar","voltear","vertere"
"verb","127","fall","cair",,,"caure","caer","cadere"
"verb","128","give","dar","dar","dar","donar","dar","dare"
"verb","129","hold","segurar",,,"aguantar,sostenir","sostener","tenere"
"verb","130","squeeze","apertar,comprimir",,,"apretar","apretar",
"verb","131","rub","esfregar,friccionar",,,"fregar","frotar",
"verb","132","wash","lavar",,,"rentar,netejar","lavar","lavare"
"verb","133","wipe","enxugar",,,"eixugar","limpiar",
"verb","134","pull","tirar,puxar",,,"tirar","tirar","trahere"
"verb","135","push","empurrar",,,"empènyer","empujar","pellere,urgere"
"verb","136","throw","atirar,jogar,lançar",,,"llançar,llençar","tirar","iactare"
"verb","137","tie","atar,amarrar",,,"lligar","atar","stringere,ligare"
"verb","138","sew","coser,costurar",,,"cosir","coser",
"verb","139","count","contar",,,"comptar","contar","numerare"
"verb","140","say","dizer",,"dezir","dir","decir","dicere"
"verb","141","sing","cantar",,,"cantar","cantar","canere"
"verb","142","play","jogar,brincar",,,"jugar","jugar","ludere"
"verb","143","float","flotuar,boiar",,,"flotar","flotar","fluctuare"
"verb","144","flow","fluir",,,"fluir","fluir","fluere"
"verb","145","freeze","gelar,congelar,refrigerar",,,"gelar,congelar","helar",
"verb","146","swell","inchar,intumerscer",,,"inflar","hincharse",
"noun","147","sun","sol",,"sol","sol","sol","sol"
"noun","148","moon","lua",,"luna","lluna","luna","luna"
"noun","149","star","estrela",,"estrela","estel,estrella","estrella","stella"
"noun","150","water","água",,"augua","aigua","agua","aqua"
"noun","151","rain","chuva",,"plebia","pluja","lluvia","pluvia"
"noun","152","river","rio",,,"riu","río","fluvius"
"noun","153","lake","lago",,,"lago","lago","lacus"
"noun","154","sea","mar",,,"mar","mar","mare"
"noun","155","salt","sal",,,"sal","sal","sal"
"noun","156","stone","pedra,rocha",,"peña","pedra","piedra","lapis,petra"
"noun","157","sand","areia",,"arena","sorra","arena","arena"
"noun","158","dust","pó,poeira",,,"pols","polvo","pulvis"
"noun","159","earth","terra",,"tierra","terra","tierra","terra"
"noun","160","cloud","nuvem",,"boira,nuble","núvol","nube","nimbus,nubes"
"noun","161","fog","neblina,névoa,nevoeiro,bruma",,,"boira","niebla","caligo,nebula"
"noun","162","sky","céu",,,"cel","cielo","caelum"
"noun","163","wind","vento",,,"vent","viento","ventus"
"noun","164","snow","neve",,,"neu","nieve","nix"
"noun","165","ice","gelo",,,"gel,glaç","hielo","glacies"
"noun","166","smoke","fumo,fumaça",,"fumo","fum","humo","fumus"
"noun","167","fire","fogo","lume","fuego","foc","fuego","ignis"
"noun","168","ashes","cinzas",,"zenisa","cendres","cenizas","cineres"
"verb","169","burn","queimar,arder,cremar",,"cremar","cremar","quemar","ardere"
"noun","170","road","estrada",,"camín","carretera","camino","via"
"noun","171","mountain","montanha,monte",,"mon","muntanya","montaña","mons"
"noun","172","red","vermelho,rubro",,"royo","vermell,roij","rojo","ruber"
"noun","173","green","verde",,"berde","verd","verde","viridis"
"noun","174","yellow","amarelo",,"amariello","groc","amarillo","flavus"
"noun","175","white","branco",,"blanco","blanc","blanco","albus,candidus"
"noun","176","black","negro,preto",,"negro","negre","negro","niger,ater,fuscus"
"noun","177","night","noite",,"nuei","nit","noche","nox"
"noun","178","day","dia",,,"dia","día","dies"
"noun","179","year","ano",,,"any","año","annus"
"adjective","180","warm","quente,cálido",,"calíen","càlid","cálido","calidus"
"adjective","181","cold","frio,frígido",,"fredo","fred","frío","frigidus"
"adjective","182","full","cheio,pleno,completo",,"pleno","ple","lleno","plenus"
"adjective","183","new","novo",,"nuebo","nou","nuevo","novus"
"adjective","184","old","velho",,,"vell","viejo","vetus"
"adjective","185","good","bom",,"bueno","bo","bueno","bonus"
"adjective","186","bad","mau",,,"dolent","malo","malus"
"adjective","187","rotten","estragado,podre,putrefacto",,,"podrit","podrido","puter,putridus"
"adjective","188","dirty","sujo,imundo",,,"brut","sucio","sordidus"
"adjective","189","straight","recto,reto",,,"recte","recto","rectus"
"adjective","190","round","redondo",,"redondo,redoncho","rodó","redondo","rotundus"
"adjective","191","sharp","afiado,aguçado,pontiagudo",,,"agut,esmolat","agudo,afilado","acer"
"adjective","192","dull","cego,embotado,rombo",,,"rom","romo",
"adjective","193","smooth","suave,liso",,,"suau,llis","suave",
"adjective","194","wet","húmido,molhado",,,"humit,mullat","mojado","umidus"
"adjective","195","dry","seco,enxuto,árido",,"xuto","sec","seco","siccus"
"adjective","196","correct","correcto",,,"correcte","correcto","rectus"
"adjective","197","near","perto,próximo",,,"prop","cerca","propinquus"
"adjective","198","far","longe,longinquo,distante",,,"lluny","lejos","longinquus"
"part","199","right","direita",,,"dreta","derecha","dexter"
"part","200","left","esquerda",,,"esquerra","izquierda","sinister"
"part","201","at","a,em",,,"a,en","a","ad"
"part","202","in","em",,,"a","en","in"
"part","203","with","com",,,"amb","con","cum"
"conjunction","204","and","e",,,"i","y","et"
"part","205","if","se",,,"si","si","si"
"part","206","because","porque",,,"perquè","porque","quia,quoniam"
"noun","207","name","nome",,,"nom","nombre","nomen"
