"#TYPE","Swadesh_number","ENG","PQL","RUS","CZC","SLO","BLG"
"pronoun","1","I","ja","я","já","ja","аз"
"pronoun","2","thou","ty","ты","ty","ti","ти"
"pronoun","3","he","on","он","on","on,to","той"
"pronoun","4","we","my","мы","my","mi","ние"
"pronoun","5","you","wy","вы","vy","vi","вие"
"pronoun","6","they","oni,one","они","oni,ony","oni","те"
"part","7","this","ten,ta,to","этот,эта,это","tento,tato,toto","tut,taktor,tuktor","този,тази,това,тая,туй"
"part","8","that","tamten,tamta,tamto","тот,та,то","tamten,tamta,tamto","tot","онзи,онази,онова,оная,онуй"
"part","9","here","tutaj,tu","здесь,тут","tady","tugde","тук"
"part","10","there","tam","там","tam","tamgde","там"
"part","11","who","kto","кто","kdo","kto","кой"
"part","12","what","co","что","co","sxto","какво,какъв,що"
"part","13","where","gdzie","где","kde","gde","къде,где"
"part","14","when","kiedy","когда","kdy","gda","кога"
"part","15","how","jak","как","jak","kak","как"
"conjunction","16","not","nie","не","ne","ne","не"
"part","17","all","wszystko","весь,вся,всё,все","všechno","vse","всичко,всички,цял"
"part","18","many","wiele","многие","mnoho","mnogju,mnog,mnoguo","много"
"part","19","some","kilka","несколько","několik","nekolk,nektor","няколко"
"part","20","few","parę,mało,niewiele","немногие","nemnoho","maluo","малко,малцина"
"part","21","other","inny","другой,иной","jiný","inju","друг"
"number","22","one","jeden","один","jeden","din","един"
"number","23","two","dwa","два","dva","dva","две"
"number","24","three","trzy","три","tři","tri","три"
"number","25","four","cztery","четыре","čtyři","cxtir","четири"
"number","26","five","pięć","пять","pět","piat","пет"
"adjective","27","big","duży,wielki","большой,великий","velký","velju","голям"
"adjective","28","long","długi","длинный,долгий","dlouhý","dolgju","дълъг"
"adjective","29","wide","szeroki","широкий","široký","sxirju","широк"
"adjective","30","thick","gruby,tłusty","толстый","tlustý","tolstju","дебел"
"adjective","31","heavy","ciężki","тяжёлый","těžký","tezxkju","тежък"
"adjective","32","small","mały","маленький","malý","malju","малък"
"adjective","33","short","krótki","короткий","krátký","kratju","къс"
"adjective","34","narrow","wąski","узкий","úzký","uzkju","тесен"
"adjective","35","thin","cienki","тонкий","tenký","tonkju","тънък"
"noun","36","woman","kobieta","женщина","žena","zxen,ludica","жена"
"noun","37","man","mężczyzna","мужчина","muž","muzx,ludic","мъж"
"noun","38","person","osoba","лицо,человек","osoba","osoba","човек"
"noun","39","child","dziecko","ребёнок,дитя","dítě","dete","дете"
"noun","40","wife","żona","жена","žena,manželka","svadzxen","съпруга"
"noun","41","husband","mąż","муж","muž,manžel","svadmuzx","съпруг"
"noun","42","mother","matka","мать","matka","mama","майка"
"noun","43","father","ojciec","отец","otec","otec","баща"
"noun","44","animal","zwierzę","зверь,животное","zvíře","zver","животно"
"noun","45","fish","ryba","рыба","ryba","riba","риба"
"noun","46","bird","ptak","птица","pták","ptak","птица"
"noun","47","dog","pies","собака,пёс","pes","sobak","куче,пес"
"noun","48","louse","wesz","вошь","veš","vosx","въшка"
"noun","49","snake","wąż","змея","had","gad,zmia","змия"
"noun","50","worm","robak","червь","červ","cxerv","червей"
"noun","51","tree","drzewo","дерево","strom","drev","дърво"
"noun","52","forest","las","лес","les","les","гора"
"noun","53","stick","patyk,pręt,pałka","палка","hůl,klacek,prut","palka","палка,пръчка,бастун"
"noun","54","fruit","owoc","плод,овощ","ovoce","plod","плод,овошка"
"noun","55","seed","nasienie,nasionko","семя,семена","semeno","seme","семе"
"noun","56","leaf","liść","лист","list","list","лист"
"noun","57","root","korzeń","корень","kořen","koren","корен"
"noun","58","bark","kora","кора","kůra","kora","кора"
"noun","59","flower","kwiat","цветок","květ","kvet","цвете"
"noun","60","grass","trawa","трава","tráva","trava","трева"
"noun","61","rope","lina,sznur","верёвка","lano","sxnur","въже"
"noun","62","skin","skóra","кожа,шкура","kůže","kozxa","кожа"
"noun","63","meat","mięso","мясо","maso","miaso","месо"
"noun","64","blood","krew","кровь","krev","krov","кръв"
"noun","65","bone","kość","кость","kost","kost","кост,кокал"
"noun","66","fat","tłuszcz,sadło","жир","tuk","sadlo","мазнина"
"noun","67","egg","jajko","яйцо","vejce","jaico","яйце"
"noun","68","horn","róg","рог","roh","rog","рог"
"noun","69","tail","ogon","хвост","ocas","hvost","опашка"
"noun","70","feather","pióro","перо","pero","pero","перо"
"noun","71","hair","włosy","волосы","vlasy","vlosis,sxerst","коса,косъм"
"noun","72","head","głowa","голова","hlava","glov","глава"
"noun","73","ear","ucho","ухо","ucho","usx","ухо"
"noun","74","eye","oko","глаз","oko","ocx","око"
"noun","75","nose","nos","нос","nos","nos","нос"
"noun","76","mouth","usta","рот","ústa","usta","уста"
"noun","77","tooth","ząb","зуб","zub","zub","зъб"
"noun","78","tongue","język","язык","jazyk","jazik","език"
"noun","79","fingernail","paznokieć","ноготь","nehet","nogot","нокът"
"noun","80","foot","stopa","стопа","noha","nog,stopa","крак,стъпало"
"noun","81","leg","noga","нога","noha","noga","крак"
"noun","82","knee","kolano","колено","koleno","kolen","коляно"
"noun","83","hand","dłoń,ręka","рука,ладонь","ruka","ruk","ръка"
"noun","84","wing","skrzydło","крыло","křídlo","krilo","крило"
"noun","85","belly","brzuch","живот","břicho","bruho","корем"
"noun","86","guts","wnętrzności","внутренности,кишки","vnitřnosti","smelost","вътрешности"
"noun","87","neck","szyja","шея","krk,šíje","sxia","врат,шия"
"noun","88","back","plecy","спина","záda,hřbet","hrebet","гръб"
"noun","89","breast","pierś","грудь","prs,hruď","grud,sisk","гръд"
"noun","90","heart","serce","сердце","srdce","serdce","сърце"
"noun","91","liver","wątroba","печень","játra","pecxen","черен дроб"
"verb","92","drink","pić","пить","pít","pitit","пия"
"verb","93","eat","jeść","есть,кушать","jíst","edat","храня се,ям"
"verb","94","bite","gryźć","грызть,кусать","kousat","kusit","хапя"
"verb","95","suck","ssać","сосать","sát","sosat","суча"
"verb","96","spit","pluć","плевать","plivat","pluvat","плюя"
"verb","97","vomit","wymiotować","рвать,блевать","zvracet","bluvat","повръщам"
"verb","98","blow","dąć,wiać","дуть","foukat","viatit","духам"
"verb","99","breathe","oddychać","дышать","dýchat","dihat","дишам"
"verb","100","laugh","śmiać się","смеяться","smát se","smehit","смея се"
"verb","101","see","widzieć","видеть","vidět","vidit","виждам"
"verb","102","hear","słyszeć","слышать","slyšet","slisxit","чувам"
"verb","103","know","wiedzieć","знать","vědět","znat","зная"
"verb","104","think","myśleć","думать","myslet","mislit,dumat","мисля"
"verb","105","smell","wąchać","нюхать,чуять","čichat","niuhat","помирисвам"
"verb","106","fear","bać się","бояться","bát se","boiat","боя се,страхувам се"
"verb","107","sleep","spać","спать","spát","spatit","спя"
"verb","108","live","żyć","жить","žít","zxiznit,domovit","живея"
"verb","109","die","umierać","умирать","umírat","umirat","умирам"
"verb","110","kill","zabijać","убивать","zabít","smertit,ubit","убивам"
"verb","111","fight","walczyć","бороться","bojovat","borbat,borit","бия се"
"verb","112","hunt","polować","охотиться","lovit","lovit","ловувам"
"verb","113","hit","uderzać","ударить","udeřit","udarit","удрям"
"verb","114","cut","ciąć","резать,рубить","řezat","rezit","режа"
"verb","115","split","rozdzielać","разделить","rozdělit","razsxtepit","цепя"
"verb","116","stab","pchnąć","кольнуть","bodnout","zakolit","промушвам"
"verb","117","scratch","drapać","царапать","škrábat","skrebit","чеша"
"verb","118","dig","kopać","копать,рыть","kopat","kopat","копая"
"verb","119","swim","pływać","плавать","plavat","plavat","плувам"
"verb","120","fly","latać","летать","letět","letit","летя"
"verb","121","walk","iść","ходить,идти","jít","hodit","вървя"
"verb","122","come","przychodzić","приходить,прийти","přijít","pridit","идвам"
"verb","123","lie","leżeć","лежать","ležet","lezxat","лежа"
"verb","124","sit","siedzieć","сидеть","sedět","sidit","седя"
"verb","125","stand","stać","стоять","stát","staiat","стоя"
"verb","126","turn","obracać","вращать,вертеть","obrátit","vrotit","завивам"
"verb","127","fall","upadać","падать","padat,upadnout","padat","падам"
"verb","128","give","dawać","давать","dát","podat","давам"
"verb","129","hold","trzymać","держать","držet","derzxit","държа"
"verb","130","squeeze","ściskać,zgniatać","сжимать","stlačit","zximat","стискам,изцеждам"
"verb","131","rub","zawijać","тереть","třít","tirat","трия"
"verb","132","wash","myć","мыть,умывать","mýt,umývat","umivat","мия"
"verb","133","wipe","wycierać","вытирать","utírat","utirat","бърша"
"verb","134","pull","ciągnąć","тянуть","tahat","tiagat","дърпам"
"verb","135","push","pchać","толкать,пихать","tlačit","tiskit","натискам"
"verb","136","throw","rzucać","бросать,кидать","házet","kidat","хвърлям"
"verb","137","tie","wiązać","вязать,связывать","vázat","viazat","връзвам"
"verb","138","sew","szyć","шить","šít","sxitit","шия"
"verb","139","count","liczyć","считать","počítat","scxitat","броя"
"verb","140","say","mówić","говорить,сказать","říkat","molvit,gvorit,skazat","казвам"
"verb","141","sing","śpiewać","петь","zpívat","pesnat","пея"
"verb","142","play","grać","играть","hrát","igrat","играя"
"verb","143","float","unosić się","плыть","plout","plovit","плувам,плавам"
"verb","144","flow","płynąć,przepływać","течь","téci","tecxit","тека"
"verb","145","freeze","zamarzać","замёрзнуть","(z)mrznout","mrozit","замръзвам"
"verb","146","swell","puchnąć","пухнуть","otékat","opuhit","подувам се"
"noun","147","sun","słońce","солнце","slunce","solnce","слънце"
"noun","148","moon","księżyc","луна,месяц","měsíc","luna","луна"
"noun","149","star","gwiazda","звезда","hvězda","zvezd","звезда"
"noun","150","water","woda","вода","voda","voda","вода"
"noun","151","rain","deszcz","дождь","déšť","dozxd","дъжд"
"noun","152","river","rzeka","река","řeka","reka","река"
"noun","153","lake","jezioro","озеро","jezero","ozero","езеро"
"noun","154","sea","morze","море","moře","morie","море"
"noun","155","salt","sól","соль","sůl","sol","сол"
"noun","156","stone","kamień","камень","kámen","kamen","камък"
"noun","157","sand","piasek","песок","písek","pesok","пясък"
"noun","158","dust","kurz","пыль","prach","prah","прах"
"noun","159","earth","ziemia","земля","země","zemla","земя"
"noun","160","cloud","chmura","туча,облако","mrak","oblak","облак"
"noun","161","fog","mgła","туман","mlha","tuman","мъгла"
"noun","162","sky","niebo","небо","nebe","nebo","небе"
"noun","163","wind","wiatr","ветер","vítr","veter","вятър"
"noun","164","snow","śnieg","снег","sníh","sneg","сняг"
"noun","165","ice","lód","лёд","led","led","лед"
"noun","166","smoke","dym","дым","kouř,dým","dim","пушек,дим"
"noun","167","fire","ogień","огонь","oheň","ogon","огън"
"noun","168","ashes","popiół","зола,пепел","popel","pepel","пепел"
"verb","169","burn","palić","жечь","hořet","palit,goret","горя"
"noun","170","road","droga","дорога,путь","silnice,cesta","dorog","път,шосе"
"noun","171","mountain","góra","гора","hora","gora","планина"
"noun","172","red","czerwony","красный","červený","cxervenju","червен"
"noun","173","green","zielony","зелёный","zelený","zelenju","зелен"
"noun","174","yellow","żółty","жёлтый","žlutý","zxoltju","жълт"
"noun","175","white","biały","белый","bílý","belju","бял"
"noun","176","black","czarny","чёрный","černý","cxernju","черен"
"noun","177","night","noc","ночь","noc","nocx","нощ"
"noun","178","day","dzień","день","den","den","ден"
"noun","179","year","rok","год","rok","rok","година"
"adjective","180","warm","ciepły","тёплый","teplý","toplju","топъл"
"adjective","181","cold","zimny","холодный","studený,chladný","holodju,zimju","студен,хладен"
"adjective","182","full","pełny","полный","plný","polnju","пълен"
"adjective","183","new","nowy","новый","nový","novju","нов"
"adjective","184","old","stary","старый","starý","starju","стар"
"adjective","185","good","dobry","хороший","dobrý","dobrju","добър"
"adjective","186","bad","zły","злой,плохой","špatný,zlý","bezdobrju,zloju","лош,зъл"
"adjective","187","rotten","zgniły","гнилой","shnilý","gnilju","гнил"
"adjective","188","dirty","brudny","грязный","špinavý","bezcxistju,grazju","мръсен,нечист"
"adjective","189","straight","prosty","прямой","přímý","pramju","прав"
"adjective","190","round","okrągły","круглый","kulatý","krugju,kulaju","кръгъл"
"adjective","191","sharp","ostry","острый","ostrý","ostrju","остър"
"adjective","192","dull","tępy","тупой","tupý","tupju","тъп"
"adjective","193","smooth","gładki","гладкий,ровный","hladký","gladju","гладък"
"adjective","194","wet","mokry","мокрый","mokrý","mokrju","мокър"
"adjective","195","dry","suchy","сухой","suchý","suhju","сух"
"adjective","196","correct","poprawny,prawidłowy","правильный","správný","pravilnju","правилен"
"adjective","197","near","bliski","близкий","blízký","blizju,nedalkju","близък"
"adjective","198","far","daleki","далёкий,дальний","daleký","dalkuo,dalkju","далечен"
"part","199","right","prawy","правый","pravý","prav","десен"
"part","200","left","lewy","левый","levý","lav","ляв"
"part","201","at","przy","при,у,возле","u","u","в,на,при,до"
"part","202","in","w","в","v","in","в"
"part","203","with","z","с","s","so","с"
"conjunction","204","and","i","и","a","i","и"
"part","205","if","jeśli","если","jestliže","esli","ако"
"part","206","because","bo,ponieważ","потому что","protože","bo,tapocx","защото"
"noun","207","name","imię,nazwa","имя","jméno","imen","име"
